Артикул;Основная категория товара;Наименование;Описание;Производитель;Артикул производителя;Цена (Розница);Цена (Опт);Можно купить;На складе;Время отгрузки;Размер/Цвет;Материал;Батарейки;Упаковка;Вес (брутто);Фотография маленькая до 150*150;Фотография 1;Фотография 2;Фотография 3;Фотография 4;Фотография 5
28;Вибраторы;Ротатор RealistickCock на присоске с пультом управления - 16 см.;Этот вибратор, так похожий на живую плоть, создан во имя сексуального удовлетворения женщины. И его способности – яркое тому доказательство!  Он не просто погружается в лоно до основания-мошонки. Он не только вибрирует всем своим упругим тельцем.  Его изюминка – вращение вокруг продольной оси, благодаря которому массаж вагины становится сверх чувственным! Управлять интенсивностью ротации можно при помощи выносного пульта. Длина - 16 см, Диаметр - 4 см.;Doc Johnson;1157-01-BX;6201.00;3543.50;1;1;2;;латекс;3 шт., тип AAA;картонная коробка;500;http://feed.p5s.ru/images/small/0/small_28.jpg;http://feed.p5s.ru/images/big/0/28.jpg;http://feed.p5s.ru/images/big/0/28-1.jpg;http://feed.p5s.ru/images/big/0/28-2.jpg;;
43;Страпоны, фаллопротезы;Трусики женские с фаллоимитатором;Трусики женские с фаллоимитатором черного цвета. Универсальный размер 44-46-48. Диаметр- 3 см., длина- 15 см.;Sharon Sloane;9563;1110.00;555.00;0;0;3;;латекс;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_43.jpg;http://feed.p5s.ru/images/big/0/43.jpg;;;;
56;Фаллоимитаторы;Лесбийский фаллоимитатор из прозрачного материала - 31 см.;Длинный-предлинный двухголовый фаллоимитатор из прозрачного геля -   секс-игрушка для настоящих ценителей экспериментов и необычных удовольствий. Проявите фантазию и воспользуйтесь новыми возможностями вместе со своей подружкой. Возможно, вы узнаете о себе нечто действительно новое!;Doc Johnson;0287-02-CD;1809.00;952.32;0;0;3;;поливинилхлорид (ПВХ, PVC);;блистер;;http://feed.p5s.ru/images/small/0/small_56.jpg;http://feed.p5s.ru/images/big/0/56.jpg;http://feed.p5s.ru/images/big/0/56-1.jpg;;;
57;Фаллоимитаторы;Двухголовый фаллос телесного цвета - 29,5 см.;Этот двухголовый «мальчик» точно сделает сексуальные отношения вашей гомосексуальной пары более гармоничными.  Одно рельефное тельце на двоих. Две чётко очерченные головки для каждой из вас. Бурная сексуальная разрядка для вас обеих!  Ласкайте секс-игрушкой вагину партнёрши или введите двухголовый фаллос в себя и в тело любимой одновременно. Двигаясь друг другу навстречу, вы испытаете целую бурю сексуальных ощущений!;Doc Johnson;0212-02-CD;1967.00;1092.60;1;30;2;телесный;поливинилхлорид (ПВХ, PVC);;блистер;500;http://feed.p5s.ru/images/small/0/small_57.jpg;http://feed.p5s.ru/images/big/0/57.jpg;http://feed.p5s.ru/images/big/0/57-1.jpg;http://feed.p5s.ru/images/big/0/57-2.jpg;;
58;Фаллоимитаторы;Двухсторонний фаллоимитатор Veined Double Dongs - 30 см.;Фалоимитатор двусторонний телесного цвета с мягким покрытием. Невероятно гибкий и реалистичный, с антибактериальным покрытием.;California Exotic Novelties;SE-0193-01-2;1759.00;925.65;0;0;3;;поливинилхлорид (ПВХ, PVC);;блистер;;http://feed.p5s.ru/images/small/0/small_58.jpg;http://feed.p5s.ru/images/big/0/58.jpg;http://feed.p5s.ru/images/big/0/58-1.jpg;http://feed.p5s.ru/images/big/0/58-2.jpg;http://feed.p5s.ru/images/big/0/58-3.jpg;http://feed.p5s.ru/images/big/0/58-4.jpg
60;Фаллоимитаторы;Фаллоимитатор Черный Гром - 30 см.;Знакомьтесь, Чёрный Гром… Ну, или самая впечатляющая его часть. Этот фаллос на присоске – точная копия предмета гордости (и славы) актёра ХХХ-жанра Black Thunder.  Погружая в себя игрушку нешуточных размеров, вы поймёте, что Гром не зря получил своё имя: от его изогнутой мощи внутри всё так и взрывается наслаждением!  Длина - 30 см. Диаметр - 6 см.;Doc Johnson;8180-01-BX;7875.00;4500.09;1;22;1;;латекс;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_60.jpg;http://feed.p5s.ru/images/big/0/60.jpg;http://feed.p5s.ru/images/big/0/60-1.jpg;http://feed.p5s.ru/images/big/0/60-2.jpg;http://feed.p5s.ru/images/big/0/60-3.jpg;http://feed.p5s.ru/images/big/0/60-4.jpg
64;Фаллоимитаторы;Фаллоимитатор  Чернокожий Бэм  - 31 см.;Этот чёрный фаллос невероятных размеров не что иное, как копия члена Бэма – всемирно известного актёра, сыгравшего в десятках фильмов для взрослых.  Большой и упругий, он быстро примет температуру тела, оставаясь внутри лона. Распирая стеночки и доставая до самых дальних уголков, он заведёт вас от «ммм» до восторженного «о, да!!!».  Присоска на основании подскажет вам немало интересных поз…  Длина - 31 см. Диаметр - 6.5 см.;Doc Johnson;8170-01-BX;7523.00;4425.49;0;0;3;;латекс;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_64.jpg;http://feed.p5s.ru/images/big/0/64.jpg;http://feed.p5s.ru/images/big/0/64-1.jpg;http://feed.p5s.ru/images/big/0/64-2.jpg;;
72;Фаллоимитаторы;Фаллоимитатор реалистик Джеф Страйкер - 25,5 см.;Этот фаллос оригинальной изогнутой формы с розовой головкой и мощным упругим тельцем – точная копия полового члена популярнейшей звезды фильмов для взрослых Джеффа Страйкера.  Фаллоимитатор немалых размеров реалистичен как на вид, так и на ощупь. А потому способен превратить вагинальную стимуляцию в настоящую секс-феерию!  Присоска на основании позволит вам заниматься сексом с мини-Джеффом в любой удобной позе.  Выполнен из мягкого материала - Ультра Реалистик, максимально напоминающего живое тело.;Doc Johnson;0272-02-BX;6375.00;3642.87;1;7;2;телесный;UR3;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_72.jpg;http://feed.p5s.ru/images/big/0/72.jpg;http://feed.p5s.ru/images/big/0/72-1.jpg;http://feed.p5s.ru/images/big/0/72-2.jpg;;
78;Вибраторы;Суперреалистичный вибромассажер - 21 см.;Суперреалистичный вибромассажер с выносным пультом уплавления вибрацией.;Doc Johnson;1160-02-BX;6793.00;3881.70;1;30;2;телесный;UR3;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_78.jpg;http://feed.p5s.ru/images/big/0/78.jpg;http://feed.p5s.ru/images/big/0/78-1.jpg;;;
79;Вибраторы;Суперреалистичный вибромассажер - 16 см.;Реалистичный вибромассажер с выносным пультом управления подарит Вам массу удовольствий.;Doc Johnson;1160-01-BX;7027.00;4015.20;1;10;1;телесный;Термопластичный эластомер (TPE);2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_79.jpg;http://feed.p5s.ru/images/big/0/79.jpg;;;;
80;Вибраторы;Фаллоимитатор KONG на присоске c вибратором и пультом управления;С таким крупным вибратором просто невозможно испытать толику удовольствия. Наслаждению – быть, причём максимальному!  Упругий фаллос способен заполнить собой лоно так чувственно, воздействовать на каждую его клеточку мультискоростной вибрацией и нежным скольжением.  Благодаря присоске на основании и выносному пульту управления позициям для секса с Конгом не будет числа! Длина от основания - 21 см. Диаметр - 5,5 см.;Doc Johnson;0273-02-BX;6319.00;3610.95;1;30;2;;латекс;2 шт., тип AA;картонная коробка;721;http://feed.p5s.ru/images/small/0/small_80.jpg;http://feed.p5s.ru/images/big/0/80.jpg;http://feed.p5s.ru/images/big/0/80-1.jpg;http://feed.p5s.ru/images/big/0/80-2.jpg;;
83;Вибраторы;Реалистичный гигант на присоске с пультом управления вибрацией JEFF STRYKER - 26 см.;Эта секс-игрушка представляет собой точную копию напряжённой плоти Джеффа Страйкера – известнейшего американского актёра  ХХХ-фильмов.  Упругий фаллос немалых размеров способен подарить вам максимальное наслаждение при вагинальной стимуляции.  Всё, что вам нужно для блаженного секса с Джеффом, - зафиксировать игрушку на жёсткой поверхности и включить мультискоростную вибрацию при помощи выносного пульта управления! Длина - 26 см Максимальный диаметр - 6 см. В комплекте чехол для хранения изделия и фото звезды с автографом.;Doc Johnson;1159-02-BX;5201.00;2971.72;1;10;2;;латекс;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_83.jpg;http://feed.p5s.ru/images/big/0/83.jpg;http://feed.p5s.ru/images/big/0/83-1.jpg;http://feed.p5s.ru/images/big/0/83-2.jpg;http://feed.p5s.ru/images/big/0/83-3.jpg;
86;BDSM, садо-мазо товары;Серебристые колечки для сосков FETISH FANTASY;Колечки-клипсы – это не только красивое украшение, но и предмет, приумножающий вашу сексуальность. К вашим соскам в сладостном плену колец так и хочется прикоснуться языком и губами!  Ношение клипс принесёт вам удовольствие. Всё это благодаря кончикам с шариками, сдавливающим грудь – чем не чувственная стимуляция?;Pipedream;PD3603-26;719.00;359.37;1;11;2;серебро;металл;;блистер;;http://feed.p5s.ru/images/small/0/small_86.jpg;http://feed.p5s.ru/images/big/0/86.jpg;http://feed.p5s.ru/images/big/0/86-1.jpg;;;
91;BDSM, садо-мазо товары;Клипсы на грудь Japanese Clover Clamps;Зажимы на грудь сложной конструкции с тонкими канатиками.;Pipedream;PD3605-02;1515.00;797.30;1;11;2;;металл;;блистер;;http://feed.p5s.ru/images/small/0/small_91.jpg;http://feed.p5s.ru/images/big/0/91.jpg;http://feed.p5s.ru/images/big/0/91-1.jpg;http://feed.p5s.ru/images/big/0/91-2.jpg;;
101;BDSM, садо-мазо товары;Клипсы-колечки с голубой бусинкой на соски;Клипсы-колечки с украшением на соски из светлого металла серебристого цвета с голубым камнем. Не требуют прокалывания.;California Exotic Novelties;SE-2634-05-2;648.00;287.79;1;11;2;;металл;;блистер;;http://feed.p5s.ru/images/small/0/small_101.jpg;http://feed.p5s.ru/images/big/0/101.jpg;;;;
120;Анальные игрушки;Цепочка из пяти голубых пластиковых анальных шариков;Пять анальных пластиковых шариков, диаметр 2,2 см. Длина - 25 см. Диаметр- 2,5 см.;Seven Creations;135L-CBLU BCD GP;224.00;64.13;0;0;3;;пластик;;пластиковая коробка;44;http://feed.p5s.ru/images/small/0/small_120.jpg;http://feed.p5s.ru/images/big/0/120.jpg;;;;
122;Анальные игрушки;Анальные бусы  Хвост Дракона ;Анальные бусы «Хвост дракона» - это лучшее средство для того чтобы «разогреть» попку как следует перед анальным проникновением.  Погружая анальные бусы глубже в анус, вы заполняете его шариками всё больших размеров. Всего их 10, и каждый из них оставит свой чувственный след внутри тела – удержать стоны не удастся.  Чтобы анальными бусами «Хвост дракона» было удобно управлять, на конце имеется небольшое колечко. Длина - 25 см. Максимальный диаметр - 2,7 см. Минимальный диаметр - 1 см. Анальные бусы  Хвост дракона  наш бестселлер!;Gopaldas;2K79LV BCD GP;521.00;231.59;1;48;1;фиолетовый;силикон;;блистер;101;http://feed.p5s.ru/images/small/0/small_122.jpg;http://feed.p5s.ru/images/big/0/122.jpg;;;;
