Артикул;"Основная категория товара";"Подраздел категории товара";Наименование;Описание;Производитель;"Артикул производителя";"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер;Цвет;aID;Материал;Батарейки;Упаковка;"Вес (брутто)";"Фотография маленькая до 150*150";"Фотография 1";"Фотография 2";"Фотография 3";"Фотография 4";"Фотография 5";Штрихкод
28;Вибраторы;"Вращающиеся (ротаторы)";"Ротатор RealistickCock на присоске с пультом управления - 16 см.";"Этот вибратор, так похожий на живую плоть, создан во имя сексуального удовлетворения женщины. И его способности – яркое тому доказательство!  Он не просто погружается в лоно до основания-мошонки. Он не только вибрирует всем своим упругим тельцем.  Его изюминка – вращение вокруг продольной оси, благодаря которому массаж вагины становится сверх чувственным! Управлять интенсивностью ротации можно при помощи выносного пульта. Длина - 16 см, Диаметр - 4 см.";"Doc Johnson";1157-01-BX;6388.00;3650.30;0;0;3;;;32;латекс;"3 шт., тип AAA";"картонная коробка";500;http://feed.p5s.ru/images/small/0/small_28.jpg;http://feed.p5s.ru/images/big/0/28.jpg;http://feed.p5s.ru/images/big/0/28-1.jpg;http://feed.p5s.ru/images/big/0/28-2.jpg;;;782421166809
52;Фаллоимитаторы;"Классические дилдо";"Латексный фаллоимитатор - 19 см.";"В отличие от своих собратьев, этот упругий фаллос  радует  и реалистичностью, и рельефом.  Вздувшиеся вены по всей длине секс-игрушки обещают яркую стимуляцию стеночек лона.  А далеко не маленькие размеры – чувственное исследование самых тёмных уголков!  ";"California Exotic Novelties";SE-0190-01-2;1288.00;677.78;0;0;3;;;56;латекс;;блистер;;http://feed.p5s.ru/images/small/0/small_52.jpg;http://feed.p5s.ru/images/big/0/52.jpg;http://feed.p5s.ru/images/big/0/52-1.jpg;http://feed.p5s.ru/images/big/0/52-2.jpg;;;716770017239
53;Фаллоимитаторы;"Классические дилдо";"Рельефный фаллоимитатор - 25 см.";"Прозрачный силиконовый фаллоимитатор, длина 25 см, диаметр 4 см. Рельефный по всей длине. Это своеобразный тренажер, манипуляции с которым позволяют мужчинам предложить своей партнерше новые сексуальные игры, а женщинам более полно изучить собственные сексуальные реакции. ";"Doc Johnson";0286-02-CD;1497.00;713.00;0;0;3;;;57;силикон;;блистер;;http://feed.p5s.ru/images/small/0/small_53.jpg;http://feed.p5s.ru/images/big/0/53.jpg;http://feed.p5s.ru/images/big/0/53-1.jpg;;;;782421123703
54;Фаллоимитаторы;"Классические дилдо";"Латексный фаллоимитатор с рельефом - 21 см.";"Если Вы предпочитаете яркие сексуальные ощущения, рекомендуем классический фаллоимитатор с особым рельефом. Игрушка изготовлена из латекса, имеет удлиненный размер (21 см) и увеличенный диаметр (4,5 см).  Благодаря особой структуре латекса, партнерше гарантированы незабываемые, фееричные ощущения. Изделие легко моется, не требует особого ухода. Латексный имитатор полового члена. Длина - 21 см, Диаметр - 4,5 см.";"California Exotic Novelties";SE-0191-01-2;1507.00;793.00;0;0;3;;телесный;58;латекс;;блистер;;http://feed.p5s.ru/images/small/0/small_54.jpg;http://feed.p5s.ru/images/big/0/54.jpg;http://feed.p5s.ru/images/big/0/54-1.jpg;http://feed.p5s.ru/images/big/0/54-2.jpg;;;"716770028891, 716770017253"
56;Фаллоимитаторы;Двусторонние;"Лесбийский фаллоимитатор из прозрачного материала - 31 см.";"Длинный-предлинный двухголовый фаллоимитатор из прозрачного геля -   секс-игрушка для настоящих ценителей экспериментов и необычных удовольствий. Проявите фантазию и воспользуйтесь новыми возможностями вместе со своей подружкой. Возможно, вы узнаете о себе нечто действительно новое! ";"Doc Johnson";0287-02-CD;1809.00;952.32;0;0;3;;прозрачный;60;"поливинилхлорид (ПВХ, PVC)";;блистер;;http://feed.p5s.ru/images/small/0/small_56.jpg;http://feed.p5s.ru/images/big/0/56.jpg;http://feed.p5s.ru/images/big/0/56-1.jpg;;;;782421124106
57;Фаллоимитаторы;Двусторонние;"Двухголовый фаллос телесного цвета - 29,5 см.";"Этот двухголовый «мальчик» точно сделает сексуальные отношения вашей гомосексуальной пары более гармоничными.  Одно рельефное тельце на двоих. Две чётко очерченные головки для каждой из вас. Бурная сексуальная разрядка для вас обеих!  Ласкайте секс-игрушкой вагину партнёрши или введите двухголовый фаллос в себя и в тело любимой одновременно. Двигаясь друг другу навстречу, вы испытаете целую бурю сексуальных ощущений!  ";"Doc Johnson";0212-02-CD;2008.00;1115.60;0;0;3;;телесный;61;"поливинилхлорид (ПВХ, PVC)";;блистер;500;http://feed.p5s.ru/images/small/0/small_57.jpg;http://feed.p5s.ru/images/big/0/57.jpg;http://feed.p5s.ru/images/big/0/57-1.jpg;http://feed.p5s.ru/images/big/0/57-2.jpg;;;782421104207
60;Фаллоимитаторы;Реалистичные;"Фаллоимитатор Черный Гром - 30 см.";"Знакомьтесь, Чёрный Гром… Ну, или самая впечатляющая его часть. Этот фаллос на присоске – точная копия предмета гордости (и славы) актёра ХХХ-жанра Black Thunder.  Погружая в себя игрушку нешуточных размеров, вы поймёте, что Гром не зря получил своё имя: от его изогнутой мощи внутри всё так и взрывается наслаждением!  Длина - 30 см. Диаметр - 6 см.";"Doc Johnson";8180-01-BX;8021.00;4583.31;1;13;2;;;64;латекс;;"картонная коробка";;http://feed.p5s.ru/images/small/0/small_60.jpg;http://feed.p5s.ru/images/big/0/60.jpg;http://feed.p5s.ru/images/big/0/60-1.jpg;http://feed.p5s.ru/images/big/0/60-2.jpg;http://feed.p5s.ru/images/big/0/60-3.jpg;http://feed.p5s.ru/images/big/0/60-4.jpg;782421449506
72;Фаллоимитаторы;Реалистичные;"Фаллоимитатор реалистик Джеф Страйкер - 25,5 см.";"Этот фаллос оригинальной изогнутой формы с розовой головкой и мощным упругим тельцем – точная копия полового члена популярнейшей звезды фильмов для взрослых Джеффа Страйкера.  Фаллоимитатор немалых размеров реалистичен как на вид, так и на ощупь. А потому способен превратить вагинальную стимуляцию в настоящую секс-феерию!  Присоска на основании позволит вам заниматься сексом с мини-Джеффом в любой удобной позе.  Выполнен из мягкого материала - Ультра Реалистик, максимально напоминающего живое тело. ";"Doc Johnson";0272-02-BX;6375.00;3642.87;0;0;3;;телесный;76;UR3;;"картонная коробка";;http://feed.p5s.ru/images/small/0/small_72.jpg;http://feed.p5s.ru/images/big/0/72.jpg;http://feed.p5s.ru/images/big/0/72-1.jpg;http://feed.p5s.ru/images/big/0/72-2.jpg;;;782421507008
78;Вибраторы;Реалистики;"Суперреалистичный вибромассажер - 21 см.";"Суперреалистичный вибромассажер с выносным пультом уплавления вибрацией.  ";"Doc Johnson";1160-02-BX;6936.00;3963.42;0;0;3;;телесный;82;UR3;"2 шт., тип AA";"картонная коробка";;http://feed.p5s.ru/images/small/0/small_78.jpg;http://feed.p5s.ru/images/big/0/78.jpg;http://feed.p5s.ru/images/big/0/78-1.jpg;;;;782421005689
79;Вибраторы;Реалистики;"Суперреалистичный вибромассажер - 16 см.";"Реалистичный вибромассажер с выносным пультом управления подарит Вам массу удовольствий.  ";"Doc Johnson";1160-01-BX;7027.00;4015.20;0;0;3;;телесный;83;"Термопластичный эластомер (TPE)";"2 шт., тип AA";"картонная коробка";;http://feed.p5s.ru/images/small/0/small_79.jpg;http://feed.p5s.ru/images/big/0/79.jpg;;;;;782421489304
