Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
28;6388.00;3650.30;0;0;3;;RUB;RUB
52;1288.00;677.78;0;0;3;;RUB;RUB
54;1507.00;793.00;0;0;3;;RUB;RUB
57;2008.00;1115.60;0;0;3;;RUB;RUB
60;8021.00;4583.31;1;7;2;;RUB;RUB
72;6375.00;3642.87;0;0;3;;RUB;RUB
78;6936.00;3963.42;0;0;3;;RUB;RUB
80;6509.00;3719.56;0;0;3;;RUB;RUB
83;5154.00;2945.08;1;7;2;;RUB;RUB
86;719.00;359.37;1;11;2;серебро;RUB;RUB
91;1515.00;797.30;1;11;2;;RUB;RUB
96;9626.00;6210.15;0;0;3;;RUB;RUB
101;648.00;287.79;0;0;3;;RUB;RUB
122;532.00;236.47;0;0;3;;RUB;RUB
124;290.00;96.80;0;0;3;;RUB;RUB
125;649.00;324.29;1;217;2;розовый;RUB;RUB
128;1370.00;721.00;0;0;3;;RUB;RUB
129;1075.00;565.63;1;6;2;розовый;RUB;RUB
131;3865.00;1840.41;0;0;3;;RUB;RUB
141;2128.00;1182.31;1;79;2;;RUB;RUB
147;2742.00;1523.49;1;50;2;прозрачный;RUB;RUB
155;1635.00;860.72;1;38;2;розовый;RUB;RUB
161;2266.00;1259.06;0;0;3;;RUB;RUB
163;4041.00;2308.93;1;11;2;;RUB;RUB
172;477.00;211.85;1;50;2;молочный;RUB;RUB
173;438.00;162.15;1;316;2;бежевый;RUB;RUB
174;623.00;277.03;1;13;2;серебро;RUB;RUB
176;795.00;397.70;1;6;2;розовый;RUB;RUB
177;1533.00;806.65;1;25;2;молочный;RUB;RUB
180;1669.00;878.29;1;53;2;серебро;RUB;RUB
181;1284.00;675.61;1;20;2;золото;RUB;RUB
188;4550.00;2600.15;0;0;3;;RUB;RUB
218;5443.00;3110.33;0;0;3;;RUB;RUB
238;3902.00;2229.87;1;6;2;телесный;RUB;RUB
240;488.00;216.71;0;0;3;;RUB;RUB
243;651.00;289.54;0;0;3;;RUB;RUB
246;741.00;370.54;0;0;3;;RUB;RUB
247;3743.00;2138.85;0;0;3;;RUB;RUB
248;522.00;231.91;1;36;2;розовый;RUB;RUB
249;638.00;283.58;0;0;3;;RUB;RUB
250;710.00;355.00;0;0;3;;RUB;RUB
251;611.00;305.26;0;0;3;;RUB;RUB
252;741.00;370.54;0;0;3;;RUB;RUB
256;3605.00;2060.28;0;0;3;;RUB;RUB
267;1286.00;676.62;1;2;2;;RUB;RUB
283;1602.00;842.93;0;0;3;;RUB;RUB
284;1261.00;663.48;1;6;2;;RUB;RUB
288;1620.00;852.63;1;30;2;розовый;RUB;RUB
290;1877.00;1042.75;0;0;3;;RUB;RUB
292;2046.00;1136.84;0;0;3;;RUB;RUB
295;8083.00;5214.72;0;0;3;;RUB;RUB
296;8083.00;5214.72;0;0;3;;RUB;RUB
298;7960.00;4548.33;1;6;2;;RUB;RUB
299;7960.00;4548.33;1;6;2;;RUB;RUB
301;7453.00;4258.69;0;0;3;;RUB;RUB
325;3965.00;2265.49;0;0;3;;RUB;RUB
338;938.00;469.00;0;0;3;;RUB;RUB
339;2849.00;1583.04;0;0;3;;RUB;RUB
340;5542.00;3260.00;0;0;3;;RUB;RUB
351;954.00;501.98;1;253;2;черный;RUB;RUB
352;954.00;501.98;1;314;2;леопард;RUB;RUB
384;937.00;468.63;1;13;2;;RUB;RUB
385;1069.00;562.74;0;0;3;;RUB;RUB
397;2505.00;1391.47;1;11;2;;RUB;RUB
428;1340.00;705.00;1;17;2;;RUB;RUB
440;2774.00;1541.33;1;20;2;;RUB;RUB
441;2310.00;1283.31;1;8;2;прозрачный;RUB;RUB
442;6332.00;3618.10;0;0;3;;RUB;RUB
444;997.00;524.70;1;11;2;;RUB;RUB
486;4999.00;2856.55;0;0;3;;RUB;RUB
487;5804.00;3316.43;0;0;3;;RUB;RUB
488;5153.00;2944.62;0;0;3;;RUB;RUB
509;4120.00;2354.43;1;2;2;телесный;RUB;RUB
514;1569.00;825.59;1;84;2;телесный;RUB;RUB
515;3412.00;1895.38;1;30;2;;RUB;RUB
516;5639.00;3222.34;1;6;2;;RUB;RUB
517;2347.00;1303.68;1;12;2;;RUB;RUB
519;4223.00;2413.00;1;6;2;;RUB;RUB
521;4411.00;2520.45;1;6;2;;RUB;RUB
522;3201.00;1778.16;1;4;2;;RUB;RUB
523;3650.00;2085.89;1;14;2;;RUB;RUB
524;4975.00;2843.07;1;6;2;;RUB;RUB
525;5907.00;3375.62;1;10;2;телесный;RUB;RUB
526;4855.00;2774.39;1;10;2;телесный;RUB;RUB
530;4959.00;2833.60;0;0;3;;RUB;RUB
539;966.00;508.28;1;6;2;;RUB;RUB
581;1602.00;843.32;0;0;3;;RUB;RUB
604;2525.00;1402.62;1;6;2;;RUB;RUB
606;2525.00;1402.62;1;30;2;;RUB;RUB
623;624.00;312.00;0;0;3;;RUB;RUB
633;5411.00;3092.17;1;3;2;фиолетовый;RUB;RUB
638;3505.00;1947.37;0;0;3;;RUB;RUB
639;1946.00;1080.97;0;0;3;;RUB;RUB
649;3521.00;2012.11;0;0;3;;RUB;RUB
653;1755.00;923.56;1;245;1;;RUB;RUB
655;875.00;437.39;1;2;1;;RUB;RUB
656;880.00;440.00;0;0;3;;RUB;RUB
662;1155.00;608.04;1;11;2;розовый;RUB;RUB
663;1535.00;808.02;1;154;2;розовый;RUB;RUB
665;1068.00;562.11;1;66;2;;RUB;RUB
668;729.00;364.32;1;11;2;серебро;RUB;RUB
672;1598.00;840.99;1;5;2;фиолетовый;RUB;RUB
673;1429.00;751.95;0;0;3;;RUB;RUB
677;608.00;270.24;1;63;2;;RUB;RUB
699;2166.00;1203.06;0;0;3;;RUB;RUB
715;4269.00;2439.16;1;5;2;;RUB;RUB
716;4411.00;2520.45;0;0;3;;RUB;RUB
718;1269.00;667.85;0;0;3;;RUB;RUB
719;1128.00;593.75;0;0;3;;RUB;RUB
724;4722.00;2698.35;0;0;3;;RUB;RUB
725;1531.00;805.69;0;0;3;;RUB;RUB
727;1826.00;961.11;0;0;3;;RUB;RUB
729;1139.00;599.61;0;0;3;;RUB;RUB
730;1312.00;690.64;1;6;2;фиолетовый;RUB;RUB
731;1917.00;1065.06;1;6;2;;RUB;RUB
751;2509.00;1393.89;0;0;3;;RUB;RUB
757;1604.00;844.03;0;0;3;;RUB;RUB
761;1655.00;870.94;0;0;3;;RUB;RUB
810;1381.00;727.00;1;12;2;;RUB;RUB
819;2008.00;1115.60;0;0;3;;RUB;RUB
827;1822.00;1012.06;1;11;2;розовый;RUB;RUB
828;4398.00;2513.25;1;17;2;телесный;RUB;RUB
840;901.00;450.40;0;0;3;;RUB;RUB
850;1358.00;714.89;0;0;3;;RUB;RUB
860;1502.00;790.46;1;84;2;красный;RUB;RUB
862;1540.00;810.73;1;109;2;телесный;RUB;RUB
891;1625.00;855.00;1;2;1;телесный;RUB;RUB
892;1625.00;855.00;1;2;1;;RUB;RUB
893;1625.00;855.00;1;4;1;;RUB;RUB
898;980.00;490.00;1;3;1;красный;RUB;RUB
899;980.00;490.00;1;4;1;красный;RUB;RUB
900;980.00;490.00;1;5;1;красный;RUB;RUB
901;980.00;490.00;1;4;1;малиновый;RUB;RUB
902;980.00;490.00;1;2;1;красный;RUB;RUB
904;1511.00;795.00;1;1;1;;RUB;RUB
905;1511.00;795.00;1;3;1;телесный;RUB;RUB
906;1511.00;795.00;1;2;1;;RUB;RUB
907;1511.00;795.00;1;2;1;;RUB;RUB
908;1511.00;795.00;1;2;1;телесный;RUB;RUB
909;1511.00;795.00;1;1;1;телесный;RUB;RUB
910;1511.00;795.00;1;2;1;;RUB;RUB
911;854.00;427.00;1;3;1;телесный;RUB;RUB
912;920.00;460.00;1;5;1;телесный;RUB;RUB
914;920.00;460.00;1;2;1;;RUB;RUB
915;920.00;460.00;1;1;1;телесный;RUB;RUB
917;1511.00;795.00;1;3;1;телесный;RUB;RUB
922;920.00;460.00;1;4;1;телесный;RUB;RUB
923;638.00;283.75;1;141;1;;RUB;RUB
924;1123.00;591.03;1;1;1;;RUB;RUB
925;955.00;502.54;1;72;2;;RUB;RUB
927;4979.00;2845.01;0;0;3;;RUB;RUB
931;2609.00;1449.17;1;26;2;;RUB;RUB
936;1431.00;753.29;0;0;3;;RUB;RUB
943;1887.00;992.95;0;0;3;;RUB;RUB
963;1117.00;588.00;0;0;3;;RUB;RUB
967;1074.00;565.50;0;0;3;;RUB;RUB
969;1231.00;648.00;0;0;3;;RUB;RUB
972;4370.00;2497.36;1;2;2;фиолетовый;RUB;RUB
973;2009.00;1116.28;1;8;2;черный;RUB;RUB
976;4247.00;2426.68;1;11;2;;RUB;RUB
979;953.00;501.37;1;3;2;золото;RUB;RUB
984;6631.00;3789.30;1;6;2;телесный;RUB;RUB
987;3506.00;2003.19;1;11;2;;RUB;RUB
988;6830.00;3902.89;1;11;2;;RUB;RUB
990;3441.00;1911.52;1;21;2;телесный;RUB;RUB
991;4065.00;2322.60;0;0;3;;RUB;RUB
992;1946.00;1080.97;1;22;2;;RUB;RUB
994;5809.00;3319.50;1;6;2;голубой;RUB;RUB
996;1261.00;663.57;1;54;2;прозрачный;RUB;RUB
997;1271.00;668.85;1;130;2;фиолетовый;RUB;RUB
998;2128.00;1182.31;1;76;2;красный;RUB;RUB
999;1929.00;1071.51;1;50;2;прозрачный;RUB;RUB
1000;3212.00;1784.41;1;8;2;;RUB;RUB
1001;1335.00;702.63;1;8;2;фиолетовый;RUB;RUB
1003;1335.00;702.63;1;137;2;;RUB;RUB
1006;1763.00;928.06;1;11;2;розовый;RUB;RUB
1012;4215.00;2408.55;1;2;2;;RUB;RUB
1020;3634.00;2076.62;1;11;2;телесный;RUB;RUB
1036;2189.00;1216.09;1;34;2;розовый;RUB;RUB
1039;456.00;202.68;1;396;2;прозрачный;RUB;RUB
1041;4064.00;2322.18;1;15;1;красный;RUB;RUB
1044;1486.00;782.21;0;0;3;;RUB;RUB
1047;2160.00;1200.00;1;2;1;телесный;RUB;RUB
1048;1240.00;652.52;0;0;3;;RUB;RUB
1050;3285.00;1825.21;1;24;2;телесный;RUB;RUB
1052;734.00;367.16;1;10;2;прозрачный;RUB;RUB
1062;1115.00;587.07;1;11;2;;RUB;RUB
1063;1524.00;801.90;1;11;2;;RUB;RUB
1066;4256.00;2432.00;0;0;3;;RUB;RUB
1067;520.00;231.17;1;6;2;золото;RUB;RUB
1068;2109.00;1171.50;1;28;2;;RUB;RUB
1082;1589.00;836.36;1;6;2;телесный;RUB;RUB
1097;2643.00;1468.26;0;0;3;;RUB;RUB
1151;12069.00;7786.35;1;11;2;телесный;RUB;RUB
1186;955.00;502.54;1;39;2;;RUB;RUB
1195;743.00;371.74;0;0;3;;RUB;RUB
1198;776.00;388.00;0;0;3;;RUB;RUB
1199;760.00;380.00;1;30;2;;RUB;RUB
1200;760.00;380.00;0;0;3;;RUB;RUB
1201;482.00;214.16;0;0;3;;RUB;RUB
1204;1901.00;1056.03;1;11;2;;RUB;RUB
1211;949.00;474.33;0;0;3;;RUB;RUB
1213;1806.00;1003.51;1;11;2;;RUB;RUB
1215;1044.00;549.73;0;0;3;;RUB;RUB
1218;5202.00;2972.66;1;1;2;шоколад;RUB;RUB
1220;2483.00;1379.34;0;0;3;;RUB;RUB
1225;636.00;317.86;1;12;1;телесный;RUB;RUB
