Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
28;6388.00;3650.30;0;0;3;;RUB;RUB
52;1288.00;677.78;0;0;3;;RUB;RUB
54;1507.00;793.00;0;0;3;;RUB;RUB
57;2008.00;1115.60;0;0;3;;RUB;RUB
60;8021.00;4583.31;1;7;2;;RUB;RUB
72;6375.00;3642.87;0;0;3;;RUB;RUB
78;6936.00;3963.42;0;0;3;;RUB;RUB
80;6509.00;3719.56;0;0;3;;RUB;RUB
83;5154.00;2945.08;1;7;2;;RUB;RUB
86;719.00;359.37;1;11;2;серебро;RUB;RUB
91;1515.00;797.30;1;11;2;;RUB;RUB
96;9626.00;6210.15;0;0;3;;RUB;RUB
101;648.00;287.79;0;0;3;;RUB;RUB
122;532.00;236.47;0;0;3;;RUB;RUB
124;290.00;96.80;0;0;3;;RUB;RUB
125;649.00;324.29;1;217;2;розовый;RUB;RUB
128;1370.00;721.00;0;0;3;;RUB;RUB
129;1075.00;565.63;1;6;2;розовый;RUB;RUB
131;3865.00;1840.41;0;0;3;;RUB;RUB
141;2128.00;1182.31;1;79;2;;RUB;RUB
147;2742.00;1523.49;1;50;2;прозрачный;RUB;RUB
155;1635.00;860.72;1;38;2;розовый;RUB;RUB
161;2266.00;1259.06;0;0;3;;RUB;RUB
163;4041.00;2308.93;1;11;2;;RUB;RUB
172;477.00;211.85;1;50;2;молочный;RUB;RUB
173;438.00;162.15;1;316;2;бежевый;RUB;RUB
174;623.00;277.03;1;13;2;серебро;RUB;RUB
176;795.00;397.70;1;6;2;розовый;RUB;RUB
177;1533.00;806.65;1;25;2;молочный;RUB;RUB
